epoch,step,train_loss
0,49,5.633480072021484
1,99,5.118697643280029
2,149,4.836061000823975
3,199,4.530606269836426
4,249,4.744241714477539
5,299,4.733679294586182
6,349,4.625532627105713
7,399,4.55327033996582
8,449,4.735154628753662
9,499,4.712554931640625
10,549,4.575068950653076
11,599,4.491533279418945
12,649,4.658383369445801
13,699,4.641855239868164
14,749,4.631089687347412
15,799,4.727399826049805
16,849,4.615193843841553
17,899,4.630493640899658
18,949,4.319301605224609
19,999,4.699154853820801
20,1049,4.588571071624756
21,1099,4.421487808227539
22,1149,4.643551349639893
23,1199,4.6692423820495605
24,1249,4.3824052810668945
25,1299,4.449455738067627
26,1349,4.404030799865723
27,1399,4.473170280456543
28,1449,4.562657356262207
29,1499,4.446120738983154
30,1549,4.394280910491943
31,1599,4.473954677581787
32,1649,4.600449085235596
33,1699,4.548386096954346
34,1749,4.449301242828369
35,1799,4.391229152679443
36,1849,4.3733696937561035
37,1899,4.352141857147217
38,1949,4.642226696014404
39,1999,4.335178375244141
40,2049,4.538118362426758
41,2099,4.557172775268555
42,2149,4.433102607727051
43,2199,4.3556084632873535
44,2249,4.525339126586914
45,2299,4.7066731452941895
46,2349,4.7149834632873535
47,2399,4.382510185241699
48,2449,4.362792491912842
49,2499,4.459542751312256
50,2549,4.520963668823242
51,2599,4.3889265060424805
52,2649,4.505806922912598
53,2699,4.4651103019714355
54,2749,4.605190277099609
55,2799,4.379333019256592
56,2849,4.301578521728516
57,2899,4.564055442810059
58,2949,4.469069004058838
59,2999,4.55861759185791
60,3049,4.57208776473999
61,3099,4.347845077514648
62,3149,4.457135200500488
63,3199,4.301764965057373
64,3249,4.516848087310791
65,3299,4.525272846221924
66,3349,4.479222774505615
67,3399,4.619508266448975
68,3449,4.165036201477051
69,3499,4.393265724182129
70,3549,4.542145252227783
71,3599,4.569639205932617
72,3649,4.555259704589844
73,3699,4.385107517242432
74,3749,4.521682262420654
75,3799,4.486140727996826
76,3849,4.430670261383057
77,3899,4.313446044921875
78,3949,4.401801586151123
79,3999,4.505877494812012
80,4049,4.585125923156738
81,4099,4.625271797180176
82,4149,4.504369258880615
83,4199,4.311358451843262
84,4249,4.14283561706543
85,4299,4.339132785797119
86,4349,4.462202548980713
87,4399,4.446824073791504
88,4449,4.664336681365967
89,4499,4.5380539894104
90,4549,4.525674343109131
91,4599,4.375597953796387
92,4649,4.432109355926514
93,4699,4.357515811920166
94,4749,4.611987113952637
95,4799,4.477027416229248
96,4849,4.475890636444092
97,4899,4.218672752380371
98,4949,4.393865585327148
99,4999,4.479033946990967
