epoch,step,train_loss
0,99,5.0398030281066895
1,199,4.5500078201293945
2,299,4.114405155181885
3,399,3.943016767501831
4,499,4.000528335571289
5,599,3.7000582218170166
6,699,3.726259469985962
7,799,3.715608596801758
8,899,4.049840450286865
9,999,3.8820981979370117
10,1099,3.801090955734253
11,1199,3.8028595447540283
12,1299,3.6517679691314697
13,1399,3.3388314247131348
14,1499,3.6960830688476562
15,1599,3.7920639514923096
16,1699,3.7585318088531494
17,1799,3.5639309883117676
18,1899,3.4496076107025146
19,1999,3.778256416320801
20,2099,3.4892661571502686
21,2199,3.311022996902466
22,2299,3.7167410850524902
23,2399,3.4114205837249756
24,2499,3.531175136566162
25,2599,3.507246732711792
26,2699,3.6450209617614746
27,2799,3.5122592449188232
28,2899,3.3128538131713867
29,2999,3.447434425354004
30,3099,3.526059865951538
31,3199,3.3765506744384766
32,3299,3.2940149307250977
33,3399,3.4661364555358887
34,3499,3.250800371170044
35,3599,3.405590772628784
36,3699,3.507061243057251
37,3799,3.1109302043914795
38,3899,3.339434862136841
39,3999,3.557730197906494
40,4099,3.4108636379241943
41,4199,3.445371150970459
42,4299,3.3663361072540283
43,4399,3.4380481243133545
44,4499,3.5109493732452393
45,4599,3.4154860973358154
46,4699,3.2558393478393555
47,4799,3.3969995975494385
48,4899,3.1820642948150635
49,4999,3.218559503555298
