epoch,step,train_loss
0,24,6.000677108764648
1,49,5.685731410980225
2,74,5.651845932006836
3,99,5.37583065032959
4,124,5.099635124206543
5,149,5.075107574462891
6,174,4.925287246704102
7,199,4.952516078948975
8,224,5.140491485595703
9,249,4.919913291931152
10,274,5.263972759246826
11,299,4.946451663970947
12,324,4.691110134124756
13,349,4.773083686828613
14,374,4.9919114112854
15,399,4.990110397338867
16,424,4.781238555908203
17,449,4.594292163848877
18,474,4.8999738693237305
19,499,4.9820332527160645
