epoch,step,train_loss
0,49,5.746328830718994
1,99,4.900031566619873
2,149,4.8863911628723145
3,199,4.9322099685668945
4,249,4.70578145980835
5,299,4.697330474853516
6,349,4.367865085601807
7,399,4.551937103271484
8,449,4.575829982757568
9,499,4.6728105545043945
10,549,4.811000823974609
11,599,4.474242210388184
12,649,4.427719593048096
13,699,4.539682388305664
14,749,4.519245624542236
15,799,4.525996208190918
16,849,4.808263778686523
17,899,4.658220291137695
18,949,4.41305685043335
19,999,4.546881675720215
20,1049,4.50930643081665
21,1099,4.65729284286499
22,1149,4.657299995422363
23,1199,4.655591011047363
24,1249,4.518964767456055
25,1299,4.465438365936279
26,1349,4.184390544891357
27,1399,4.400514125823975
28,1449,4.554829120635986
29,1499,4.709680557250977
30,1549,4.657095432281494
31,1599,4.395730495452881
32,1649,4.330526351928711
33,1699,4.265179634094238
34,1749,4.285774230957031
35,1799,4.572878837585449
36,1849,4.4751811027526855
37,1899,4.43296480178833
38,1949,4.525539398193359
39,1999,4.168639659881592
40,2049,4.455887317657471
41,2099,4.532118320465088
42,2149,4.729901313781738
43,2199,4.453121662139893
44,2249,4.3543171882629395
45,2299,4.538699150085449
46,2349,4.437438488006592
47,2399,4.545177459716797
48,2449,4.400262832641602
49,2499,4.431974411010742
50,2549,4.40221643447876
51,2599,4.641822338104248
52,2649,4.486362457275391
53,2699,4.276432037353516
54,2749,4.429454803466797
55,2799,4.611767768859863
56,2849,4.519792079925537
57,2899,4.291640758514404
58,2949,4.304996490478516
59,2999,4.428951263427734
60,3049,4.671512603759766
61,3099,4.510677337646484
62,3149,4.479506969451904
63,3199,4.340415954589844
64,3249,4.471651077270508
65,3299,4.340206623077393
66,3349,4.598024368286133
67,3399,4.329635143280029
68,3449,4.518129348754883
69,3499,4.468296051025391
70,3549,4.457984447479248
71,3599,4.457864284515381
72,3649,4.449862480163574
73,3699,4.277090072631836
74,3749,4.461959362030029
75,3799,4.495551109313965
76,3849,4.40305233001709
77,3899,4.400648593902588
78,3949,4.434713363647461
79,3999,4.327045440673828
80,4049,4.435932636260986
81,4099,4.5039896965026855
82,4149,4.3965163230896
83,4199,4.308696746826172
84,4249,4.496490478515625
85,4299,4.384376525878906
86,4349,4.325976848602295
87,4399,4.830301761627197
88,4449,4.451604843139648
89,4499,4.3850603103637695
90,4549,4.3837175369262695
91,4599,4.4465837478637695
92,4649,4.343265056610107
93,4699,4.4142913818359375
94,4749,4.457904815673828
95,4799,4.539811611175537
96,4849,4.523731231689453
97,4899,4.309668064117432
98,4949,4.211779594421387
99,4999,4.412336349487305
