epoch,step,train_loss
0,24,6.174795150756836
1,49,5.636710166931152
2,74,5.477841377258301
3,99,5.457362174987793
4,124,5.004640579223633
5,149,5.107481002807617
6,174,5.216662406921387
7,199,5.218303680419922
8,224,4.916478157043457
9,249,4.860522270202637
10,274,4.796377658843994
11,299,4.850356578826904
12,324,5.019259452819824
13,349,4.922541618347168
14,374,5.017730236053467
15,399,4.733068943023682
16,424,4.849085807800293
17,449,4.832220077514648
18,474,4.955228805541992
19,499,4.95561408996582
