true,pred,lower,upper
-0.9769346,-0.91991836,-1.6209916204214097,-0.2677684158086781
-0.9528172,-0.49894258,-1.4492189854383468,0.20174254626035626
-0.9528172,-1.2215669,-1.6019070446491241,-0.6019580215215684
-0.74446875,-1.1829369,-2.119339582324028,-0.5531148567795761
-1.4017665,-1.2178172,-1.8603381276130675,-0.7539091289043431
-0.9849737,-1.003809,-2.393609458208084,-0.011779674887658409
-0.72839046,-1.0011462,-1.7225107192993163,-0.17983259707689375
-0.7524122,-1.062676,-1.8471338480710984,-0.10647461265325636
-1.457945,-0.8194073,-1.3308603435754776,-0.059911949932575544
-1.0009565,-0.8301157,-2.1847972750663756,0.09296965897083148
-1.2013615,-0.76853275,-1.7638589590787888,0.4047317564487445
-0.9849737,-0.9872866,-1.9702881157398222,-0.4161705657839778
-0.99291724,-0.7816108,-1.6063059151172638,0.4387661695480308
-2.05916,-1.1979305,-2.150855416059494,-0.30817552506923807
-1.0330174,-0.7171822,-2.0169119000434876,2.0893299102783125
-0.79251224,-0.58001125,-1.8118592977523802,0.123688568174839
-0.9849737,-0.64444166,-1.8557422935962677,0.2631493672728537
-0.71231186,-0.9149962,-2.1494929313659665,0.05678337365388832
-0.7765296,-0.9976161,-2.152299427986145,0.19750050008296927
-0.7043687,-0.9770849,-1.610050955414772,-0.15636524111032507
-0.80055135,-0.9641627,-2.6607518553733827,0.3280221313238132
-0.5520071,-0.6888176,-1.99019376039505,0.8043553516268726
-0.72839046,-0.677884,-1.602229970693588,0.3413748651742927
-0.80055135,-0.6289618,-1.660901254415512,0.23613064438104564
-0.9368346,-1.1439501,-1.616172009706497,-0.6425527259707451
-1.1773396,-1.1048775,-2.1835973381996157,0.08336481451988212
-1.1372396,-0.9219433,-2.3630912780761717,0.0962563559412953
-1.1533178,-0.9000059,-1.6456016987562179,-0.3064752161502845
-1.4178448,-0.7282802,-1.2926135897636413,0.2775867909193035
-1.1853789,-1.1502917,-2.3897166728973387,0.1725906491279578
-1.0650783,-1.3491864,-1.900215321779251,-0.5443297773599634
-0.9528172,-0.93713087,-2.0228787124156953,0.1028474569320661
-1.6022671,-1.0180879,-2.0989209055900573,1.8967486292123787
-1.2815617,-0.9768288,-1.6842347383499146,0.39418272078037
-0.9688955,-1.0017926,-1.6402561843395234,0.006174188852307139
-0.9287953,-1.141317,-1.8198129445314408,-0.15812584608793342
-1.1452787,-1.1802536,-2.1737663865089414,-0.2727686211466792
-0.90477353,-1.0780625,-1.805388680100441,-0.04130801111459817
