epoch,step,train_loss
0,24,6.026371955871582
1,49,5.767240047454834
2,74,5.302928447723389
3,99,5.247941970825195
4,124,5.141805648803711
5,149,4.891714572906494
6,174,5.050522804260254
7,199,4.984130382537842
8,224,4.920990943908691
9,249,4.860411167144775
10,274,4.9495625495910645
11,299,4.915952682495117
12,324,4.873556137084961
13,349,4.726659774780273
14,374,4.752337455749512
15,399,4.659768581390381
16,424,4.748736381530762
17,449,5.052713394165039
18,474,4.653838634490967
19,499,4.807685852050781
